Cross-Validation Fold,Trial Number,Score,Feature Dimensions,Number of Heads,Head Dimensions,Dropout Rate,Activation Function,Normalization Type,ArcFace Scaling Factor,ArcFace Angular Margin Penalty,Lambda Center,Optimizer,Learning Rate,Weight Decay,Momentum,Optimizer Center,Learning Rate Center,Weight Decay Center,Momentum Center,Scheduler,Scheduler T0,Scheduler Eta Min,Scheduler Step Size,Scheduler Gamma,Scheduler Center,Scheduler Center T0,Scheduler Center Eta Min,Scheduler Center Step Size,Scheduler Center Gamma,State
Fold 1,17,0.972301788987826,384,3,128,0.17546306152728633,selu,none,43,0.3058232916584056,0.024335035859156372,AdamW,0.00031913242521752815,0.0001115109088167527,,AdamW,0.000549611894504923,4.481173313724616e-06,,cosine,5.0,6.931817640909906e-05,,,steplr,,,5.0,0.7084987044392542,PRUNED
Fold 1,18,0.9673118910996507,256,3,128,0.14303688261294778,leaky_relu,batch,34,0.3258639986949335,0.05469170020769837,SGD,0.00051544541423751,1.2027457972073008e-05,0.8645915187510771,AdamW,0.00015544119316073053,1.3648320646633415e-06,,cosine,5.0,6.378061814921648e-05,,,steplr,,,17.0,0.21832078719802422,PRUNED
Fold 1,19,0.9594510680027395,512,3,512,0.258104352204352,gelu,layer,44,0.3430943271672306,0.032085241807730584,AdamW,0.00020301150888694727,6.09274872111835e-05,,AdamW,0.0008344443508668001,5.290038501832949e-06,,cosine,8.0,2.819825945156076e-05,,,cosine,9.0,9.416382751087558e-05,,,PRUNED
Fold 1,20,0.972694427971773,512,3,128,0.01431959536740629,gelu,none,38,0.3173532549264819,0.0003359302373354897,AdamW,0.0005262883559786183,0.00016838140762113666,,AdamW,0.00019563089016742818,2.2543766541158214e-06,,cosine,4.0,6.351879073211291e-05,,,cosine,5.0,7.056210675101755e-05,,,COMPLETE
Fold 1,21,0.9772328303881453,512,2,128,0.34855177109744084,gelu,batch,52,0.35503130640129615,0.01717175158930248,AdamW,0.00014747878550169764,3.3241791880738997e-05,,SGD,0.00044348942161963,3.12773087369299e-05,0.9106401691040817,steplr,,,11.0,0.5357107675661629,cosine,7.0,3.300540580347438e-05,,,COMPLETE
Fold 1,22,0.9769425650818836,512,2,128,0.3385902372363163,gelu,batch,52,0.35524552599646886,0.0150932492823101,AdamW,0.00018184476105675474,4.826007111516452e-05,,AdamW,1.0160077123870174e-05,2.4315999780974917e-05,,cosine,7.0,4.882327540866766e-05,,,cosine,8.0,7.436916949986954e-05,,,COMPLETE
Fold 1,23,0.9753508635338406,512,2,128,0.24867588496082785,gelu,batch,45,0.30307857827393103,0.028692234272422838,AdamW,7.989409403970683e-05,1.282236435945945e-05,,SGD,0.0005484059262826293,9.874163538355134e-06,0.8997555105496418,steplr,,,20.0,0.6305686357301125,cosine,6.0,4.906270395429732e-05,,,COMPLETE
Fold 1,24,0.9787237019613034,512,3,128,0.333659239921178,gelu,batch,60,0.33159074788009957,0.016089976652192264,AdamW,0.0004837485295307376,9.060009239225679e-05,,AdamW,0.0006506959506971301,2.3511246237973857e-06,,cosine,10.0,7.779765267499375e-05,,,cosine,8.0,4.513180601428837e-05,,,COMPLETE
Fold 1,25,0.9776128946186625,512,3,128,0.16721171005547655,gelu,batch,60,0.3259307708265193,0.041366406321452234,AdamW,0.000479399460446767,0.0002577558566950939,,AdamW,0.0007002590367897499,2.3621705943745803e-06,,cosine,10.0,8.048375492734092e-05,,,cosine,9.0,4.9428546834318924e-05,,,COMPLETE
Fold 1,26,0.966346061370499,256,3,128,0.22569142206108633,leaky_relu,batch,58,0.3811655573262133,0.013091944052778809,SGD,0.00039058098628399205,0.00012064383454054134,0.8616352783980891,AdamW,0.000997632696091802,1.645903219271571e-06,,cosine,9.0,7.70200520279323e-05,,,steplr,,,11.0,0.5334110844431756,PRUNED
Fold 1,27,0.9712417826698717,384,3,128,0.3005208303062105,relu,batch,63,0.317833416581627,0.035349420378954374,AdamW,0.0007392865091856534,0.000961950179113737,,AdamW,0.0006579466230752626,6.422255075193358e-06,,cosine,5.0,9.709984900806092e-05,,,cosine,8.0,9.991023072382866e-05,,,PRUNED
Fold 1,28,0.9555353145619534,128,3,512,0.19844173454250164,selu,none,45,0.3353176890783707,0.02382242114929566,AdamW,2.9285198419493633e-05,6.639714212672438e-05,,AdamW,0.0002601170210849161,2.986380955742788e-06,,cosine,7.0,5.805071313551887e-05,,,steplr,,,8.0,0.7544057226002725,PRUNED
Fold 1,29,0.9628427242523709,256,3,128,0.2570293567753861,selu,layer,41,0.415099686167651,0.06780202312588456,AdamW,9.477742328591796e-05,0.00014087133945593462,,AdamW,0.00012935688179111713,1.3439447425776072e-05,,cosine,9.0,3.428545492259345e-05,,,steplr,,,12.0,0.874112157227051,PRUNED
Fold 1,30,0.9460939486891444,512,3,256,0.06124881185468509,gelu,none,47,0.31272201472632155,0.04701995443687243,AdamW,0.0006225156705839841,3.347913878954401e-06,,AdamW,0.0005435259957702104,6.828234347687775e-06,,cosine,4.0,1.7334193584537134e-05,,,cosine,9.0,7.507968754640913e-05,,,PRUNED
Fold 1,31,0.9763017226987776,512,3,128,0.1779004046929792,gelu,batch,60,0.332231464634903,0.013259836625975647,AdamW,0.000434800025405371,0.00047276915112793444,,AdamW,0.0006907204035961274,2.3260232154953155e-06,,cosine,10.0,8.238155238429455e-05,,,cosine,9.0,4.953110824372335e-05,,,COMPLETE
Fold 1,32,0.9799216891015048,512,3,128,0.14408487968329176,gelu,batch,64,0.34753806000070486,0.043243849491435005,AdamW,0.0008718511549147081,0.00022217000794760606,,AdamW,0.000387698782750939,1.0050365521863773e-06,,cosine,10.0,7.526046802742539e-05,,,cosine,9.0,5.8612224980835415e-05,,,COMPLETE
Fold 1,33,0.9775958724533633,512,3,128,0.12266790629851365,gelu,batch,64,0.3506943402570065,0.053945532080705995,AdamW,0.0009540783758689302,0.0002824560432942271,,AdamW,0.00037237658771798235,1.2493038353055937e-06,,cosine,9.0,7.186885721125e-05,,,cosine,8.0,6.154343082353378e-05,,,COMPLETE
Fold 1,34,0.9758009870712584,512,3,128,0.2139830542853923,gelu,batch,57,0.372007296244311,0.0806593914323113,AdamW,0.0009357101793488312,8.46679096947357e-05,,AdamW,0.00021498545509497606,1.5663213669602685e-06,,cosine,10.0,8.515674124640846e-05,,,cosine,10.0,8.401978739488875e-05,,,COMPLETE
Fold 1,35,0.9759023311276477,512,3,128,0.32834102412374233,gelu,none,47,0.36520231527657376,0.006388799670365622,AdamW,1.1251253724678038e-05,1.887738296857217e-05,,AdamW,0.0004642993657881759,3.4203459426605465e-06,,cosine,9.0,5.302476889957258e-05,,,cosine,6.0,2.2823077431856765e-05,,,COMPLETE
