Cross-Validation Fold,Score,Feature Dimensions,Number of Heads,Head Dimensions,Dropout Rate,Activation Function,Normalization Type,ArcFace Scaling Factor,ArcFace Angular Margin Penalty,Lambda Center,Optimizer,Learning Rate,Weight Decay,Optimizer Center,Learning Rate Center,Weight Decay Center,Momentum Center,Scheduler,Scheduler Step Size,Scheduler Gamma,Scheduler Center,Scheduler Center Step Size,Scheduler Center Gamma,Scheduler T0,Scheduler Eta Min,Scheduler Center T0,Scheduler Center Eta Min
CV Fold 1,0.9828668804904733,256,3,128,0.4001118271908461,gelu,batch,59,0.444948599816415,0.05348819176562352,AdamW,0.00023372612049285015,1.0292532331122745e-06,SGD,7.743568141696596e-05,1.201333858842057e-05,0.8765915917761432,steplr,16.0,0.548902700825732,steplr,9.0,0.23224000060962538,,,,
CV Fold 2,0.9827821647255011,512,2,128,0.37041246937743305,gelu,none,37,0.4931933288302317,0.033703511519062146,AdamW,8.74150308576318e-05,1.0045203917329902e-06,AdamW,1.163257482501036e-05,9.475408606699158e-05,,steplr,11.0,0.6266024449466762,steplr,8.0,0.23646880910409399,,,,
CV Fold 3,0.9798349353767811,512,1,128,0.45808111203779284,leaky_relu,none,63,0.39908000679697553,0.07613162144693615,AdamW,7.142602452414745e-05,0.00010475803293268508,AdamW,0.000377646023472391,1.4408083642318679e-05,,cosine,,,cosine,,,3.0,8.309902863749416e-05,6.0,1.870311365045979e-05
CV Fold 4,0.982009003316568,512,2,256,0.4829466647578763,gelu,batch,48,0.4002337433292198,0.003550826603616627,AdamW,0.0007515579973267095,0.0008267134925271453,SGD,1.1433000147499135e-05,0.00016094821914571658,0.9348598285939678,steplr,16.0,0.36641367170344175,steplr,9.0,0.28050088092728565,,,,
CV Fold 5,0.9839328166940889,384,3,128,0.4598331092312801,gelu,batch,46,0.31209526705239254,0.05205133656452049,AdamW,0.0002667980981597211,2.4059130672273426e-06,SGD,1.7670945945941906e-05,5.357587683279803e-05,0.8241842866074742,steplr,18.0,0.29434921406849424,steplr,6.0,0.8541146077010079,,,,
