Cross-Validation Fold,Identification Accuracy Closed Set,Identification Accuracy Open Closed Set,Identification Precision Macro Avg,Identification Recall Macro Avg,Identification F1 Macro Avg,Identification Precision Micro Avg,Identification Recall Micro Avg,Identification F1 Micro Avg,Open-Set Decision Threshold,Open-Set Accuracy,Open-Set Precision,Open-Set Recall,Open-Set F1 Score,Open-Set AUROC,Open-Set AUPR,Open-Set False Accept Rate,Open-Set Correct Classification Rate,Open-Set Classification Rate,Verification Decision Threshold,Verification Accuracy,Verification Precision,Verification Recall,Verification F1 Score,Verification AUROC,Verification AUPR,Verification Average Precision,Verification Equal Error Rate,Verification False Acceptance Rate,Verification False Rejection Rate
Fold 1,0.9903527283690081,0.9888201712654615,0.9946966263217266,0.9903339706503751,0.9924591023357897,0.9888201712654615,0.9888201712654615,0.9888201712654614,0.9800664186477661,0.9888201712654615,0.9954545454545455,0.9903527283690081,0.9928970832703643,0.9988491522779545,0.9996720494753977,0.016910935738444193,0.9888201712654615,0.972098296892314,0.2682677209377289,0.9385,0.9209869431643625,0.9593,0.9397531347962382,0.9860637000000001,0.987343300102463,0.9873439015362577,0.06320000000000002,0.0823,0.0407
Fold 2,0.9978896593307205,0.9966698382492863,0.9982385862613673,0.9981574539625975,0.9981926848206094,0.9966698382492863,0.9966698382492863,0.9966698382492863,0.9513145685195923,0.9966698382492863,0.9978896593307205,0.9978896593307205,0.9978896593307205,0.999882400085107,0.9999685462519856,0.007891770011273957,0.9966698382492863,0.9888043491086493,0.271833598613739,0.93975,0.9234472797303803,0.959,0.9408879077753249,0.98729906,0.9881535665234618,0.9881541371313768,0.06269999999999999,0.0795,0.041
Fold 3,0.9942736588306209,0.9942925089179548,0.9976519446607508,0.9950361303181114,0.9963326858737005,0.9942925089179548,0.9942925089179548,0.9942925089179548,0.9159768223762512,0.9942925089179548,0.9984866828087167,0.9942736588306209,0.9963757173059499,0.9998083631152003,0.9999492082244968,0.005636978579481398,0.9942925089179548,0.9886877033434455,0.24758866429328918,0.9391,0.9244972931167826,0.9563,0.9401297679905624,0.9869039900000002,0.9878659224102738,0.9878665045007138,0.06110000000000002,0.0781,0.0437
Fold 4,0.9954792043399638,0.9935790725326992,0.9964320325326693,0.9955205062270209,0.9959485962494427,0.9935790725326992,0.9935790725326992,0.9935790725326992,0.9701235294342041,0.9935790725326992,0.9963800904977376,0.9954792043399638,0.9959294436906377,0.9996299777171154,0.9999026515151996,0.013528748590755355,0.9935790725326992,0.9801371910553683,0.2520332932472229,0.9376,0.9300314465408805,0.9464,0.9381443298969073,0.9827509300000001,0.9853168716398597,0.9853175343848705,0.06255,0.0712,0.0536
Fold 5,0.9942736588306209,0.9912009512485137,0.9943173432961392,0.9945117240847238,0.9943967744658079,0.9912009512485137,0.9912009512485137,0.9912009512485137,0.9804530143737793,0.9912009512485137,0.994573409707567,0.9942736588306209,0.9944235116804824,0.9991491865965629,0.9997766796905669,0.020293122886133032,0.9912009512485137,0.9710863885399756,0.3197707235813141,0.93175,0.9287913397556857,0.9352,0.9319846529473317,0.9806102149999998,0.9836418787928327,0.9836426039364835,0.06845000000000001,0.0717,0.0648
Mean,0.994453781940187,0.9929125084427831,0.9962673066145307,0.9947119570485657,0.99546596874907,0.9929125084427831,0.9929125084427831,0.9929125084427831,0.9595868706703186,0.9929125084427831,0.9965568775598574,0.994453781940187,0.9955030830556311,0.9994638159583881,0.9998538270315294,0.01285231116121759,0.9929125084427831,0.9801627857879506,0.27189880013465884,0.9373400000000001,0.9255508604616182,0.95124,0.9381799586812729,0.984725579,0.9864643078937781,0.9864649362979403,0.06360000000000002,0.07655999999999999,0.048760000000000005
Std,0.0024388634075577873,0.00268860141614265,0.0015556152556756833,0.002523376595350839,0.001928913189114974,0.00268860141614265,0.00268860141614265,0.0026886014161426838,0.02423260741812326,0.00268860141614265,0.0014615738095678566,0.0024388634075577873,0.0017085508173644314,0.0003995843389920193,0.00011281550766666845,0.005458272124874951,0.00268860141614265,0.007678130751619956,0.025653581077018227,0.0028832967242377397,0.0033746334558908504,0.009289693213448972,0.003224677046606274,0.002607462608691534,0.0017247296170942623,0.0017246717879945289,0.0025236877778362365,0.004388895077351474,0.009289693213448977
